40,46,113
45,65,190
46,74,198
37,65,213
39,66,211
41,65,209
41,65,209
40,63,203
40,63,203
40,63,203
40,63,203
40,63,203
40,63,203
40,63,203
40,63,203
40,63,203
40,63,203
40,63,203
41,65,209
41,65,209
41,65,209
39,66,211
37,65,213
39,69,218
39,69,218
39,69,218
39,69,218
47,73,203
48,70,200
47,57,181
46,52,157
44,49,128
38,44,109
26,33,72
23,32,66
16,26,50
12,23,43
8,19,39
8,19,39
16,25,45
20,28,45
29,33,38
27,32,33
21,28,37
22,29,56
20,43,91
21,52,115
21,52,115
30,65,138
50,63,173
51,63,181
45,61,197
43,62,201
41,65,209
37,65,213
37,67,216
48,78,203
46,76,201
48,73,207
50,69,206
51,64,196
50,62,188
52,61,178
51,57,164
49,53,134
49,53,134
37,41,99
31,35,83
29,35,78
21,30,63
19,29,59
13,22,49
16,24,47
20,28,41
21,28,47
20,29,67
20,43,91
16,45,102
24,58,124
29,63,133
49,62,172
47,60,170
46,58,176
45,61,197
40,63,203
41,65,209
37,67,216
41,71,220
41,71,220
39,69,218
39,69,218
46,69,221
49,70,222
54,69,225
56,69,225
60,63,208
55,54,180
54,51,166
53,53,123
53,53,123
35,40,89
26,30,71
21,29,59
18,27,54
18,28,58
16,28,68
25,42,99
36,53,126
39,59,147
44,63,198
44,63,198
44,63,198
44,63,198
43,62,201
40,63,203
41,65,209
37,65,213
39,69,218
39,69,218
39,69,218
39,69,218
39,69,218
39,69,218
46,73,217
49,72,212
50,69,206
49,67,198
50,65,188
51,63,189
49,59,183
44,55,176
35,54,159
31,53,141
37,58,143
40,60,148
32,68,144
46,61,154
45,60,153
38,53,126
31,45,98
27,41,94
27,42,115
35,50,143
44,57,167
45,61,197
41,65,209
37,65,213
37,67,216
39,69,218
39,69,218
39,69,218
46,70,214
51,66,206
51,63,189
52,58,165
52,58,153
43,48,117
33,42,99
31,42,94
15,28,72
17,28,55
22,30,53
20,30,70
19,46,102
19,46,102
25,58,127
32,68,144
33,72,147
45,61,197
44,63,198
43,62,201
39,66,211
37,65,213
48,78,203
46,75,204
49,69,204
50,59,176
50,56,151
37,41,99
31,35,83
26,30,71
19,26,59
12,23,43
8,19,39
16,25,45
17,26,46
20,28,41
20,29,67
28,42,100
19,46,102
25,58,127
32,68,144
45,61,197
40,63,203
41,65,209
37,65,213
39,69,218
39,69,218
39,69,218
39,69,218
45,68,214
47,68,213
50,67,210
51,66,206
52,64,198
47,61,191
45,60,186
38,60,166
38,61,160
41,64,166
40,63,165
44,67,176
40,63,203
40,63,203
40,63,203
41,65,209
37,67,216
38,68,217
38,68,217
38,68,217
38,68,217
38,68,217
41,67,215
42,68,216
44,70,218
46,73,217
49,72,212
49,67,198
50,65,188
54,63,180
47,57,171
41,53,161
27,47,125
29,50,125
37,58,139
39,60,145
30,65,138
30,65,138
50,63,173
50,63,173
49,62,172
49,62,172
51,63,181
43,62,201
41,65,209
37,65,213
51,80,208
46,74,199
43,64,185
37,54,165
39,50,142
37,46,113
15,28,72
16,28,62
21,28,37
22,28,35
10,24,47
4,22,51
32,51,89
32,51,89
35,49,102
39,54,127
42,57,150
45,57,175
44,63,198
40,63,203
41,65,209
39,66,211
37,67,216
39,69,218
48,78,203
46,74,198
46,70,192
42,64,183
42,64,183
42,65,174
41,64,166
39,61,157
40,63,165
43,62,201
43,62,201
43,62,201
43,62,201
41,65,209
39,66,211
37,65,213
39,69,218
39,69,218
39,69,218
46,75,204
45,60,186
43,50,153
35,43,103
35,43,103
25,35,75
25,35,75
23,34,72
13,24,56
13,24,56
16,28,62
20,34,76
22,38,81
22,38,81
22,38,81
34,36,37
135,153,146
150,154,148
154,158,147
147,151,139
